date,code,name,open,close,high,low,volume,amount,pct_chg,index_return
2024-06-11,000300,沪深300,3555.819,3542.877,3565.311,3525.895,13452230600,,-0.8739788378322566,-0.008778204324046326
2024-06-12,000300,沪深300,3539.095,3544.123,3551.171,3531.566,12281372900,,0.035169157721259836,0.00035162974822592165
2024-06-13,000300,沪深300,3548.216,3526.131,3551.077,3520.18,12324546200,,-0.507657324534172,-0.005089502820485152
2024-06-14,000300,沪深300,3514.8,3541.533,3547.147,3503.523,17151694200,,0.4367960237438684,0.004358448387317518
2024-06-17,000300,沪深300,3521.437,3536.199,3540.793,3520.738,13743343800,,-0.15061274312564432,-0.001507262781307134
2024-06-18,000300,沪深300,3533.488,3545.59,3551.709,3532.785,12367183800,,0.26556763349574464,0.0026521562573067706
2024-06-19,000300,沪深300,3543.36,3528.749,3543.36,3524.845,10664279700,,-0.47498441726201435,-0.004761160530630181
2024-06-20,000300,沪深300,3525.169,3503.282,3533.987,3500.131,11161739600,,-0.7217005233299267,-0.007243173797358555
2024-06-21,000300,沪深300,3496.343,3495.62,3505.512,3473.828,10918661500,,-0.21870919897399865,-0.0021894871683803695
2024-06-24,000300,沪深300,3473.639,3476.81,3505.775,3471.216,11799018400,,-0.5381019676051757,-0.005395549509415396
2024-06-25,000300,沪深300,3475.165,3457.902,3483.219,3440.646,11844811800,,-0.5438318458586999,-0.005453159945359769
2024-06-26,000300,沪深300,3451.539,3480.265,3487.396,3442.298,10589886100,,0.6467216248465135,0.00644639353391063
2024-06-27,000300,沪深300,3467.289,3454.118,3471.142,3452.578,11491810100,,-0.751293364154737,-0.007541297882574628
2024-06-28,000300,沪深300,3443.674,3461.657,3484.678,3443.674,13540915300,,0.21826121748012017,0.002180233737024504
2024-07-01,000300,沪深300,3458.264,3478.183,3479.955,3443.809,12182977000,,0.4774014294310458,0.004762654827228198
2024-07-02,000300,沪深300,3472.453,3471.786,3488.319,3464.524,12165012100,,-0.1839178674612585,-0.0018408720402977288
2024-07-03,000300,沪深300,3471.556,3463.414,3478.705,3454.994,10385710800,,-0.24114389538986147,-0.0024143511554857245
2024-07-04,000300,沪深300,3468.296,3445.813,3483.31,3444.928,10442990900,,-0.5081979803742809,-0.005094936980487585
2024-07-05,000300,沪深300,3443.359,3431.061,3451.039,3399.669,11660965900,,-0.42811377169915676,-0.004290328026433688
